"id","ref_id","repository_name","repository_long_name","settlement","country","repository_url","worldcat_url","loc_url","dnb_url","viaf_url"
152,,Universitäts- und Forschungsbibliothek Erfurt-Gotha,"",Gotha,Germany,https://www.uni-erfurt.de/bibliothek/fb/,"","","",""
153,,Herzog August Bibliothek,"",Wolfenbüttel,Germany,http://www.hab.de/,"","","",""
154,,Staats- und Universitätsbibliothek Carl von Ossietzky,"",Hamburg,Germany,http://www.sub.uni-hamburg.de/,"","","",""
155,,Universitätsbibliothek,"",Leipzig,Germany,https://www.ub.uni-leipzig.de,"","","",""
156,,Thüringer Universitäts- und Landesbibliothek,"",Jena,Germany,http://www.thulb.uni-jena.de/,"","","",""
157,,Universitäts- und Landesbibliothek Sachsen Anhalt,"",Halle,Germany,http://bibliothek.uni-halle.de,"","","",""
158,,Universitätsbibliothek J.C. Senckenberg,"",Frankfurt a.M.,Germany,https://www.ub.uni-frankfurt.de,"","","",""
159,,Bibliothek des St. Nikolaus-Hospitals,"",Bernkastel-Kues,Germany,http://www.cusanus.de/,"","","",""
160,,Gottfried Wilhelm Leibniz Bibliothek (Niedersächsische Landesbibliothek),"",Hannover,Germany,http://www.gwlb.de/,"","","",""
161,,Gräflich Schönbornsche Schloßbibliothek,"",Pommersfelden,Germany,http://www.schoenborn.de/sammlung.html,"","","",""
162,,Handschriftensammlung der St. Jacobi Kirche,"",Hamburg,Germany,"","","","",""
163,,Landes- und Murhardsche Bibliothek der Stadt Kassel,"",Kassel,Germany,http://www.ub.uni-kassel.de/bb6.html,"","","",""
164,,Ratsbücherei,"",Lüneburg,Germany,http://www.lueneburg.de/ratsbuecherei,"","","",""
165,,Sächsische Landesbibliothek: Staats- und Universitätsbibliothek Dresden,"",Dresden,Germany,http://www.slub-dresden.de/,"","","",""
166,,"St.-Paulus-Dom, Dombibliothek","",Münster,Germany,http://www.paulusdom.de/,"","","",""
167,,Staatsbibliothek,"",Bamberg,Germany,http://www.staatsbibliothek-bamberg.de/,"","","",""
168,,Stadtarchiv,"",Cologne,Germany,http://www.stadt-koeln.de/5/kulturstadt/historisches-archiv/,"","","",""
169,,Stadtarchiv und Wissenschaftliche Stadtbibliothek Soest,"",Soest,Germany,http://www.soest.de/03leben_wohnen/bildung_kultur_sport/stadtarchiv/117040100000015994.php,"","","",""
170,,Universitäts- und Landesbibliothek,"",Düsseldorf,Germany,http://www.ub.uni-duesseldorf.de/,"","","",""
171,,Universitätsbibliothek,"",Leipzig,Germany,http://www.ub.uni-leipzig.de/,"","","",""
