"id","ref_id","repository_name","repository_long_name","settlement","country","repository_url","worldcat_url","loc_url","dnb_url","viaf_url"
232,,Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg,"","","","","","",http://d-nb.info/gnd/4655897-4,https://viaf.org/viaf/133479836
233,,Bayerische Staatsbibliothek,"","","","","","",http://d-nb.info/gnd/2031351-2,https://viaf.org/viaf/129557156
234,,Katholieke Universiteit te Leuven,"","","","","","",http://d-nb.info/gnd/1010676-5,https://viaf.org/viaf/143744654
235,,Kaiserliche Akademie der Wissenschaften zu Wien,"","","","","","",http://d-nb.info/gnd/110494894X,http://viaf.org/viaf/131268764
236,,Agence bibliographique de l'enseignement supérieur (France),"","","","","","",http://d-nb.info/gnd/1087304237,http://viaf.org/viaf/128719505
237,,University of California Berkeley,"","","","","","",http://d-nb.info/gnd/2025100-2,http://viaf.org/viaf/149111950
238,,"Biblioteca Estense (Modena, Italy)","","","","","","",http://d-nb.info/gnd/4071376-3,http://viaf.org/viaf/141633615
239,,Biblioteca Medicea Laurenziana,"","","","","","",http://d-nb.info/gnd/1019149-5,http://viaf.org/viaf/133196672
240,,Bibliothèque Municipale (Bourges),"","","","","","",http://d-nb.info/gnd/10055453-2,http://viaf.org/viaf/129779240
241,,Burgerbibliothek Bern,"","","","","","",http://d-nb.info/gnd/2006797-5,http://viaf.org/viaf/157880358
242,,Cambridge University Library,"","","","","","",http://d-nb.info/gnd/1010752-6,http://viaf.org/viaf/140790558
243,,"Christie, Manson and Woods International Inc.","","","","","","",http://d-nb.info/gnd/32760-8,http://viaf.org/viaf/143640357
244,,Fondazione Ezio Franceschini,"","","","","","",http://d-nb.info/gnd/5113077-4,http://viaf.org/viaf/157705788
245,,Fundación Tomás de Aquino,"","","","","","",http://d-nb.info/gnd/1004131-X,http://viaf.org/viaf/141132145
246,,Historisches Archiv der Stadt Köln,"","","","","","",http://d-nb.info/gnd/1017704-8,http://viaf.org/viaf/143699716
247,,Wellcome Institute Library (London),"","","","","","",http://d-nb.info/gnd/669579-6,http://viaf.org/viaf/141197948
248,,Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche (Roma),"","","","","","",http://d-nb.info/gnd/4292267-7,http://viaf.org/viaf/124989171
249,,Ministère de l'instruction publique (France),"","","","","","",http://d-nb.info/gnd/35956-7,http://viaf.org/viaf/125416427
250,,Ministero de educacion nacional (España),"","","","","","",http://d-nb.info/gnd/1087334586,http://viaf.org/viaf/139009447
251,,"National Center for Biotechnology Information, U.S. National Library of Medicine","","","","","","",http://d-nb.info/gnd/10052802-8,http://viaf.org/viaf/149881801
252,,"National Library of Medicine (Bethesda, Md.)","","","","","","",http://d-nb.info/gnd/1006047-9,http://viaf.org/viaf/139054940
253,,Národní knihovna České republiky (National Library of the Czech Republic),"","","","","","",http://d-nb.info/gnd/5245820-9,http://viaf.org/viaf/135195765
254,,Österreichische Akademie der Wissenschaften,"","","","","","",http://d-nb.info/gnd/1001454-8,http://viaf.org/viaf/141440509
255,,Österreichische Nationalbibliothek,"","","","","","",http://d-nb.info/gnd/2020893-5,http://viaf.org/viaf/136765452
256,,"Rijksuniversiteit Leiden, Bibliotheek","","","","","","",http://d-nb.info/gnd/1010700-9,http://viaf.org/viaf/133132602
257,,Riksarkivet (Stockholm),"","","","","","",http://d-nb.info/gnd/1009467-2,http://viaf.org/viaf/122152504
258,,"Smithsonian Institution, Libraries","","","","","","",http://d-nb.info/gnd/1098664-9,http://viaf.org/viaf/141359110
259,,Società Internazionale per lo Studio del Medioevo Latino,"","","","","","",http://d-nb.info/gnd/5119107-6,http://viaf.org/viaf/151071528
260,,Sotheby's,"","","","","","",http://d-nb.info/gnd/5016307-3,http://viaf.org/viaf/126386983
261,,"Stad Brugge, Bibliotheek","","","","","","",http://d-nb.info/gnd/5041377-6,http://viaf.org/viaf/264983686
262,,Stanford University (CA),"","","","","","",http://d-nb.info/gnd/2885-X,http://viaf.org/viaf/158761280
263,,The British Library (London),"","","","","","",http://d-nb.info/gnd/1023420-2,http://viaf.org/viaf/121814978
264,,Pierpont Morgan Library (New York),"","","","","","",http://d-nb.info/gnd/1006048-0,http://viaf.org/viaf/140782799
265,,The Newberry Library (Chicago),"","","","","","",http://d-nb.info/gnd/1005760-2,http://viaf.org/viaf/155372052
267,,Universitäts- und Landesbibliothek Düsseldorf,"","","","","","",http://d-nb.info/gnd/2024977-9,http://viaf.org/viaf/134791582
268,,Universitätsbibliothek Klagenfurt,"","","","","","",http://d-nb.info/gnd/1602308-0,http://viaf.org/viaf/153213394
269,,University of Chicago,"","","","","","",http://d-nb.info/gnd/1389-4,http://viaf.org/viaf/143657677
270,,University of Glasgow,"","","","","","",http://d-nb.info/gnd/36206-2,http://viaf.org/viaf/157362130
271,,University of Michigan Library,"","","","","","",http://d-nb.info/gnd/1011457-9,http://viaf.org/viaf/159468899
272,,Biblioteca Apostolica Vaticana,"","","","","","",http://d-nb.info/gnd/1003302-6,http://viaf.org/viaf/146085455
273,,Verbund HAN,"","","","","","",http://d-nb.info/gnd/1086000005,http://viaf.org/viaf/759145857000322921037
275,,"Yale University Library (New Haven, Connecticut)","","","","","","",http://d-nb.info/gnd/1011639-4,http://viaf.org/viaf/155397196
